ID,LETO,AVTOR,MESTO,DRŽAVA,TABLATURA,INSTRUMENT,STRUNE,RAZPRAVA
91,1546,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
92,1546,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
93,,Francesco da Milano,Rome,Italy,Italian tablature,lute,6,NE
94,1546,"Gerle, Hans",Nuremberg,Germany,German tablature,lute,6,NE
95,1546,Giovanni Maria da Crema,Venice,Italy,Italian tablature,lute,6,NE
96,1546,Giovanni Maria da Crema,Venice,Italy,Italian tablature,lute,6,NE
97,1546,"Mudarra, Alonso",Seville,Spain,Italian tablature,guitar,"4, 6",NE
98,1546,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
99,1546,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
100,1546,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
101,1546,"Pifaro, Marcantonio del",Venice,Italy,Italian tablature,lute,6,NE
102,1546,"Rotta, Antonio",Venice,Italy,Italian tablature,lute,6,NE
103,1546,"Rotta, Antonio",Venice,Italy,Italian tablature,lute,6,NE
104,1546,"Vindella, Francesco",Venice,Italy,Italian tablature,lute,6,NE
105,1547,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
106,1547,"Gintzler, Simon",Venice,Italy,Italian tablature,lute,6,NE
107,1547,"Neusidler, Hans",Nuremburg,Germany,German tablature,lute,6,NE
108,1547,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
109,1547,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
110,1547,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
111,1547,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
112,1547,"Teghi, Pietro",Louvain,Belgium,French tablature,lute,6,NE
113,1547,"Teghi, Pietro",Louvain,Belgium,French tablature,lute,6,NE
114,1547,"Valderrábano, Enriquez de",Madrid,Spain,Italian tablature,guitar,"4, 6",NE
115,1548,"Abondante, Giulio",Venice,Italy,Italian tablature,lute,6,NE
116,1548,"Borrono, Pietro Paolo",Venice,Italy,Italian tablature,lute,6,NE
117,1548,Francesco da Milano,,,Italian tablature,lute,6,NE
118,1548,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
119,,,,Italy,Italian tablature,lute,6,NE
120,1549,"Barberiis, Melchiore de",Venice,Italy,Italian tablature,lute,6,NE
121,1549,"Barberiis, Melchiore de",Venice,Italy,Italian tablature,"lute, guitar","4, 6",NE
122,1549,"Neusidler, Hans",Nuremburg,Germany,German tablature,lute,6,NE
123,1549,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
124,,,,,German tablature,lute,6,NE
125,,"Bianchini, Francesco",Lyon,France,Italian tablature,lute,6,NE
126,,"Paladino, Giovanni Paolo",Lyon,France,Italian tablature,lute,6,NE
127,,"Baïf, Jean-Antoine de",,,,guitar,4,DA
128,1550,"Morlaye, Guillaume",Paris,France,French tablature,guitar,4,NE
129,1550,"Wyssenbach, Rudolf",Zurich,Switzerland,German tablature,lute,6,NE
130,1550,,,,German tablature,lute,6,NE
131,1550,,,,German tablature,lute,6,NE
132,1550,,,,German tablature,lute,6,NE
133,1550,,,,German tablature,lute,6,NE
134,1550,,,Germany,German tablature,lute,6,NE
135,1550,,,,Italian tablature,lute,6,NE
136,1550,,,,Italian tablature,lute,6,NE
137,1550,,,,Italian tablature,lute,6,NE
138,1550,"Herwart, Johann Heinrich",,,Italian tablature,lute,6,NE
139,1550,,,Italy,Italian tablature,lute,6,NE
140,,,,Germany,German tablature,lute,6,NE
141,,"Herwart, Johann Heinrich",,,Italian tablature,lute,6,NE
142,,,Haldenwang,Germany,Italian tablature,lute,6,NE
143,1550,,,,French tablature,lute,6,NE
144,,,,,unknown tablature,lute,6,NE
145,1550,,,,French tablature,lute,6,NE
146,,,,England,French tablature,guitar,4,NE
147,,,,,German tablature,lute,6,NE
148,,,,,German tablature,lute,6,NE
149,,,,,German tablature,lute,6,NE
150,,,,,French tablature,lute,6,NE
151,1551,"Gorlier, Simon",Paris,France,French tablature,guitar,4,NE
152,1551,"Le Roy, Adrian",Paris,France,French tablature,lute,6,NE
153,1551,"Le Roy, Adrian",Paris,France,French tablature,guitar,4,NE
154,1551,"Le Roy, Adrian",Paris,France,French tablature,drugo,4,NE
155,1551,"Le Roy, Adrian",Paris,France,French tablature,guitar,4,NE
156,1552,"Dentice, Luigi",Rome,Italy,,drugo,,DA
157,1552,"Gerle, Hans",Nuremberg,Germany,German tablature,lute,6,NE
158,1552,"Le Roy, Adrian",Paris,France,French tablature,lute,6,NE
159,1552,"Le Roy, Adrian",Paris,France,French tablature,guitar,4,NE
160,1552,"Morlaye, Guillaume",Paris,France,French tablature,lute,6,NE
161,1552,"Morlaye, Guillaume",Paris,France,French tablature,guitar,4,NE
162,1552,"Morlaye, Guillaume",Paris,France,French tablature,guitar,4,NE
163,1552,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
164,1552,"Pisador, Diego",Salamanca,Spain,Italian tablature,drugo,6,NE
165,1552,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
166,1552,"Wecker, Hans Jacob",Basel,Switzerland,German tablature,lute,6,NE
167,1552,"Wecker, Hans Jacob",Basel,Switzerland,German tablature,lute,6,NE
168,1552,,Zurich,Switzerland,German tablature,lute,6,NE
169,1551,,,England,French tablature,lute,6,NE
170,1553,"Bakfark, Valentin",Lyon,France,Italian tablature,lute,6,NE
171,1553,"Brayssing, Grégoire",Paris,France,French tablature,guitar,4,NE
172,1553,"Dentice, Luigi",Rome,Italy,,drugo,,DA
173,1553,"Morlaye, Guillaume",Paris,France,French tablature,guitar,4,NE
174,1553,"Paladino, Giovanni Paolo",Lyon,France,Italian tablature,lute,6,NE
175,1553,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
176,1553,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
177,1553,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
178,1553,"Tye, Christopher",London,England,,lute,,NE
179,1553,"Tye, Christopher",London,England,,lute,,NE
180,1553,"Tye, Christopher",London,England,,lute,,NE
181,1554,"Balletti, Bernardino",Venice,Italy,Italian tablature,lute,6,NE
182,1554,"Bianchini, Dominico",Venice,Italy,Italian tablature,lute,6,NE
183,1554,"Fuenllana, Miguel de",Seville,Spain,Italian tablature,guitar,"4, 5, 6",NE
184,1554,"Ghelen, Jan van",Antwerp,Belgium,French tablature,lute,6,DA
185,1554,"Le Roy, Adrian",Paris,France,French tablature,guitar,4,NE
186,1554,"Morlaye, Guillaume",Paris,France,French tablature,lute,6,NE
187,1554,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
188,1554,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
189,1554,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
190,1554,,,Spain,Italian tablature,drugo,6,NE
191,1554,,,Spain,Italian tablature,drugo,6,NE
192,1555,"Bermudo, Juan",Osuna,Spain,Italian tablature,drugo,"7, 6",DA
193,1555,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
194,,,,,Italian tablature,lute,6,NE
195,,,Kraków,Poland,Italian tablature,lute,6,NE
196,1556,,Poitiers,France,,drugo,,DA
197,1556,"Belin, Julien",Paris,France,French tablature,lute,6,NE
198,1556,"Drusina, Benedictus de",Frankfurt,Germany,German tablature,lute,6,NE
199,1556,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
200,1556,"Heckel, Wolff",Strasbourg,France,German tablature,lute,6,NE
201,1556,"Heckel, Wolff",Strasbourg,France,German tablature,lute,6,NE
202,1555,"Le Roy, Adrian",Paris,France,French tablature,guitar,4,NE
203,1556,Lautenbuch Ulm,Ulm,Germany,German tablature,lute,6,NE
204,1558,"Morlaye, Guillaume",Paris,France,French tablature,lute,6,NE
205,1558,"Morlaye, Guillaume",Paris,France,French tablature,lute,6,NE
206,1558,"Ochsenkun, Sebastian",Heidelberg,Germany,German tablature,lute,6,NE
207,1558,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
208,,,,England,French tablature,"lute, guitar","4, 6",NE
209,1559,"Le Roy, Adrian",Paris,France,French tablature,lute,6,NE
210,1559,"Lieto Panhormitano, Don Bartholomeo",Naples,Italy,Italian tablature,lute,,DA
211,1559,"Matelart, Ioanne",Rome,Italy,Italian tablature,lute,6,NE
212,1560,"Paladin, Jean Paul",Lyon,France,Italian tablature,lute,6,NE
213,,,,,Italian tablature,lute,6,NE
214,1560,,,,French tablature,guitar,4,NE
215,1560,,,Bavaria,Italian tablature,lute,6,NE
216,,,Siena,Italy,Italian tablature,lute,"7, 6",NE
217,,"Morlaye, Guillaume?",,,French tablature,lute,6,NE
218,,"Morlaye, Guillaume?",,,French tablature,lute,6,NE
219,,"Morlaye, Guillaume?",,,French tablature,lute,6,NE
220,,"Morlaye, Guillaume?",,,French tablature,lute,6,NE
221,1561,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
222,1561,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
223,,"Schenckinck, Bernhard",Münster,Germany,French tablature,lute,6,NE
224,1562,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
225,1562,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
226,1562,"Heckel, Wolff",Strasbourg,France,German tablature,lute,6,NE
227,1562,"Heckel, Wolff",Strasbourg,France,German tablature,lute,6,NE
228,1562,"Le Roy, Adrian",Paris,France,French tablature,lute,6,NE
229,1562,"Paladin, Antoine François",Lyon,France,French tablature,lute,6,NE
230,1562,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
231,1562,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
232,1562,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
233,1562,"Ripa, Alberto da",Paris,France,French tablature,lute,6,NE
234,1562,"Fugger, Octavianus",Bologna,Italy,Italian tablature,lute,6,NE
235,1563,"Abondante, Giulio",Venice,Italy,Italian tablature,lute,6,NE
236,1563,"Bianchini, Dominico",Venice,Italy,Italian tablature,lute,6,NE
237,1563,"Borrono, Pietro Paolo",Venice,Italy,Italian tablature,lute,6,NE
238,1563,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
239,1563,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
240,1563,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
241,1563,"Galilei, Vincenzo",Rome,Italy,Italian tablature,lute,6,NE
242,1563,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
243,1563,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
244,1563,"Scotto, Girolamo",Venice,Italy,Italian tablature,lute,6,NE
245,1563,,Louvain,Belgium,French tablature,drugo,4,NE
246,1563,"Wyssenbach, Rudolf",Zurich,Switzerland,German tablature,lute,6,NE
247,1563,,Basel,Switzerland,German tablature,lute,6,NE
248,,,,,French tablature,lute,6,NE
249,1564,"Bakfark, Valentin",Paris,France,French tablature,lute,6,NE
250,,"Fuenllana, Miguel de",Madrid,Spain,Italian tablature,guitar,"4, 5, 6",NE
251,1564,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
252,1564,"Le Roy, Adrian",Paris,France,French tablature,drugo,4,NE
253,1564,"Ochsenkun, Sebastian",Heidelberg,Germany,German tablature,lute,6,NE
254,1564,,Louvain,Belgium,French tablature,lute,6,NE
255,1564,"Viaera, Frederic",Louvain,Belgium,French tablature,drugo,4,NE
256,1564,,,,lute tablature,lute,6,NE
257,,,Vienna,Austria,German tablature,lute,6,NE
258,1565,"Alde, John",,,French tablature,lute,6,NE
259,1565,"Bakfark, Valentin",Kraków,Poland,Italian tablature,lute,6,NE
260,1565,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
261,1565,"Le Roy, Adrian and Robert Ballard",Paris,France,French tablature,drugo,4,NE
262,1565,"Santa María, Tomás de",Valladolid,Spain,,drugo,,DA
263,1565,,,Germany,German tablature,lute,6,NE
264,,,,South Germany,German tablature,lute,6,NE
265,1565,"Gorzanis, Giacomo",,,Italian tablature,lute,6,NE
266,1565,,,,Italian tablature,lute,6,NE
267,1565,,,Sala Bolognese,Italian tablature,lute,6,NE
268,,,,,French tablature,lute,6,NE
269,1566,"Neusidler, Melchior",Venice,Italy,Italian tablature,lute,6,NE
270,1566,"Neusidler, Melchior",Venice,Italy,Italian tablature,lute,6,NE
271,1567,"Ballard, Robert",,,,lute,,DA
272,1567,"Le Roy, Adrian",Paris,France,,lute,,DA
273,1568,"Becchi, Marc'Antonio di",Venice,Italy,Italian tablature,lute,6,NE
274,1568,"Galilei, Vincenzo",Venice,Italy,Italian tablature,lute,6,DA
275,1568,"Ghelen, Jan van",Antwerp,Belgium,French tablature,lute,6,DA
276,1568,"Le Roy, Adrian",London,England,French tablature,lute,6,NE
277,1568,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
278,1568,,Louvain,Belgium,French tablature,drugo,4,NE
279,,,,,French tablature,lute,6,NE
280,1569,"Bakfark, Valentin",Antwerp,Belgium,Italian tablature,lute,6,NE
281,1569,"Barbetta, Giulio Cesare",Venice,Italy,Italian tablature,lute,6,NE
282,1569,"Galilei, Vincenzo",Venice,Italy,Italian tablature,lute,6,NE
283,1569,"Kargel, Sixt",,,,drugo,,NE
284,1569,"Kargel, Sixt",,,,lute,6,NE
285,1569,"Kargel, Sixt",Mainz,Germany,,drugo,,NE
286,1569,,London,England,French tablature,drugo,4,NE
287,1569,,Louvain,Belgium,French tablature,drugo,4,NE
288,,,,,German tablature,lute,6,NE
289,,"Gorlier, Simon",Lyon,France,French tablature,drugo,4,NE
290,,"Gorlier, Simon",Lyon,France,French tablature,guitar,4,NE
291,,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
292,,"Le Roy, Adrian",,,French tablature,drugo,4,NE
293,1570,"Antonelli, Cornelio",Venice,Italy,Italian tablature,lute,6,NE
294,1570,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
295,,"Le Roy, Adrian",Paris,France,,lute,,DA
296,1570,"Phalèse, Pierre",Louvain,Belgium,French tablature,drugo,4,NE
297,1570,"Phalèse, Pierre",Louvain,Belgium,French tablature,guitar,4,NE
298,,,,,German tablature,lute,6,NE
299,,,,,Italian tablature,guitar,4,NE
300,1570,,,,French tablature,drugo,4,NE
301,,"Galilei, Vincenzo",,,Italian tablature,lute,6,NE
302,,,,,German tablature,lute,"7, 6",NE
303,1571,"Fiorino, Gasparo",Venice,Italy,Italian tablature,lute,6,NE
304,1571,"Le Roy, Adrian",Paris,France,French tablature,lute,6,NE
305,1571,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
306,,,,England,French tablature,lute,6,NE
307,1572,"Jobin, Bernhard",Strasbourg,France,German tablature,lute,6,NE
308,1573,"Fiorino, Gasparo",Venice,Italy,Italian tablature,lute,6,NE
309,1573,"Jobin, Bernhard",Strasbourg,France,German tablature,lute,6,NE
310,1573,"Neusidler, Melchior",Frankfurt,Germany,German tablature,lute,6,NE
311,1573,"Phalèse, Pierre",Louvain,Belgium,French tablature,guitar,4,NE
312,1573,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
313,1573,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
314,1573,"Teghi, Pierre de",Louvain,Belgium,French tablature,lute,6,NE
315,1573,"Waissel, Matthäus",Frankfurt an der Oder,Germany,German tablature,lute,6,NE
316,,,,Germany,German tablature,lute,6,NE
317,1574,"Kargel, Sixt",Strasbourg,France,Italian tablature,lute,6,NE
318,1574,"Le Roy, Adrian",London,England,French tablature,lute,6,DA
319,1574,"Metzler, Barthel",,,German tablature,lute,6,NE
320,1574,"Neusidler, Melchior",Strasbourg,France,German tablature,lute,6,NE
321,1574,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
322,1574,"Virchi, Paolo",Venice,Italy,Italian tablature,drugo,"7, 6",NE
323,1574,,,Italy,Italian tablature,lute,6,NE
324,1575,,Paris,France,,drugo,,NE
325,1575,"Kargel, Sixt",,,,drugo,,NE
326,1575,"Kargel, Sixt",Strasbourg,France,Italian tablature,drugo,6,NE
327,1575,"Phalèse, Pierre",Louvain,Belgium,,drugo,,NE
328,1575,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
329,1575,"Strambi, Antonio",Rome,Italy,Italian tablature,lute,,NE
330,1575,"Viola, Raphael",Louvain,Belgium,French tablature,lute,6,NE
331,1575,"Iselin, Ludwig",Basel,Switzerland,German tablature,lute,6,NE
332,1575,,,Germany,German tablature,lute,6,NE
333,1575,"Iselin, Ludwig",Basel,Switzerland,German tablature,lute,6,NE
334,1575,,Mikulov,Czech Republic,German tablature,lute,6,NE
335,1575,,,Germany,German tablature,lute,6,NE
336,1575,"Galilei, Vincenzo",,,Italian tablature,lute,6,NE
337,1575,,,Germany,German tablature,lute,6,NE
338,,,,England,French tablature,lute,"4, 6",NE
339,,,,,French tablature,lute,6,NE
340,1576,"Daza, Esteban",,,Italian tablature,drugo,6,NE
341,1576,"Neusidler, Melchior",Venice,Italy,Italian tablature,lute,6,NE
342,1578,"Brunet, Pierre",Paris,France,,drugo,,NE
343,1578,"Cabezón, Antonio de",Madrid,Spain,vihuela tablature,drugo,,DA
344,1578,"Kargel, Sixt",Strasbourg,France,"number tablature, Italian tablature",drugo,4,NE
345,1578,"Kargel, Sixt",Strasbourg,France,Italian tablature,drugo,6,NE
346,1578,"Le Roy, Adrian",Paris,France,,guitar,,DA
347,1578,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
348,1578,,,,German tablature,lute,6,NE
349,1579,"Gorzanis, Giacomo",Venice,Italy,Italian tablature,lute,6,NE
350,,"Tromboncino, Ippolito",Venice,Italy,Italian tablature,lute,6,NE
351,1580,"Kargel, Sixt",Strasbourg,France,"number tablature, Italian tablature",drugo,4,NE
352,1580,,Louvain,Belgium,,lute,6,NE
353,1580,,,,German tablature,lute,6,NE
354,1580,"Agricola, Philippus",Tübingen,Germany,German tablature,lute,7,NE
355,1580,,,,German tablature,lute,6,NE
356,,"Fabrum, Hieronymus",,,German tablature,lute,"7, 6, 8",NE
357,1580,,,,lute tablature,lute,6,NE
358,1580,,,,French tablature,"lute, guitar","4, 6",NE
359,1580,,,,German tablature,lute,"7, 6",NE
360,,,,England,Italian tablature,lute,6,NE
361,1580,,,England,French tablature,lute,6,NE
362,1580,,,England,French tablature,lute,6,NE
363,,,,Italy,Italian tablature,lute,7,NE
364,,,,England,French tablature,lute,"7, 6",NE
365,1580,,,,German tablature,lute,6,NE
366,,,,,Italian tablature,lute,7,NE
367,1580,,,Germany,German tablature,lute,6,NE
368,,,,Germany,German tablature,lute,"7, 6",NE
369,1581,"Caroso, Fabritio",Venice,Italy,Italian tablature,lute,6,NE
370,1582,"Barbetta, Giulio Cesare",Strasbourg,France,Italian tablature,lute,6,NE
371,1582,"Barbetta, Giulio Cesare",Strasbourg,France,Italian tablature,lute,"7, 6",NE
372,1582,"Brambilla, Ambrosius",,,,drugo,,DA
373,1582,"Phalèse, Pierre",Antwerp,Belgium,French tablature,drugo,4,NE
374,,,,Italy,Italian tablature,lute,6,NE
375,1583,"Le Roy, Adrian",Paris,France,,lute,,DA
376,,"Cellier, Jacques",,France,French tablature,lute,7,NE
377,,,,England,French tablature,lute,6,NE
378,,,,England,French tablature,lute,4,NE
379,1584,,Antwerp,Belgium,French tablature,lute,6,NE
380,1584,"Fallamero, Gabriel",Venice,Italy,Italian tablature,lute,6,NE
381,1584,"Galilei, Vincenzo",Venice,Italy,Italian tablature,lute,6,NE
382,1584,"Krengel, Gregorius",Frankfurt,Germany,German tablature,lute,7,NE
383,,,,,Italian tablature,lute,6,NE
384,,,Tuscany,Italy,Italian tablature,lute,6,NE
385,1585,"Barbetta, Giulio Cesare",Venice,Italy,Italian tablature,lute,"7, 6",NE
386,1585,"Carrara, Michele",Rome,Italy,French tablature,lute,8,DA
387,1585,"Le Roy, Adrian",,,,drugo,4,NE
388,,,,,Italian tablature,lute,6,NE
389,,,,England,French tablature,lute,6,NE
390,,,,England,Italian tablature,lute,6,NE
391,,,,England,French tablature,lute,"4, 6",NE
392,,,,,,guitar,5,NE
393,1585,,,,French tablature,lute,6,NE
394,1586,"Amat, Juan Carlos",Barcelona,Spain,,guitar,,DA
395,1586,Francesco da Milano,,,Italian tablature,lute,6,NE
396,1586,"Kargel, Sixt",Strasbourg,France,German tablature,lute,6,NE
397,1586,"Verovio, Simone",Rome,Italy,Italian tablature,lute,6,NE
398,,"Croy, Charles de",,France,French tablature,lute,7,NE
399,1587,"Abondante, Giulio",Venice,Italy,Italian tablature,lute,6,NE
400,1587,,Milan,Italy,Italian tablature,lute,6,NE
401,1588,"Munday, Anthony",London,England,,lute,,NE
402,,"Gintzler, Simon",Venice,Italy,Italian tablature,lute,6,NE
403,1589,"Verovio, Simone",Rome,Italy,Italian tablature,lute,6,NE
404,1589,,,,unknown tablature,lute,,NE
405,,"Abondante, Giulio",Venice,Italy,Italian tablature,lute,6,NE
406,,,Venice,Italy,,guitar,,NE
407,1590,"Vecchi, OrazioTiberio",Venice,Italy,Italian tablature,lute,6,NE
408,1590,"Verovio, Simone",Rome,Italy,Italian tablature,lute,6,NE
409,,,,,German tablature,lute,,NE
410,,"Cavalcanti, Raffaelo",Florence,Italy,Italian tablature,lute,7,NE
